nominal,data,curs,cdx
1,1/10/18,57.0463,______ ___
1,1/11/18,56.8734,______ ___
1,1/12/18,56.9957,______ ___
1,1/13/18,56.6019,______ ___
1,1/16/18,56.3569,______ ___
1,1/17/18,56.3878,______ ___
1,1/18/18,56.5925,______ ___
1,1/19/18,56.7597,______ ___
1,1/20/18,56.5892,______ ___
1,1/23/18,56.6261,______ ___
1,1/24/18,56.4115,______ ___
1,1/25/18,56.3888,______ ___
1,1/26/18,55.9288,______ ___
1,1/27/18,55.8288,______ ___
1,1/30/18,56.2908,______ ___
1,1/31/18,56.2914,______ ___
1,2/1/18,56.1840,______ ___
1,2/2/18,56.2613,______ ___
1,2/3/18,56.0408,______ ___
1,2/6/18,56.6278,______ ___
1,2/7/18,57.2196,______ ___
1,2/8/18,56.9533,______ ___
1,2/9/18,57.6736,______ ___
1,2/10/18,58.1718,______ ___
1,2/13/18,58.0171,______ ___
1,2/14/18,57.7701,______ ___
1,2/15/18,57.5899,______ ___
1,2/16/18,56.5918,______ ___
1,2/17/18,56.3554,______ ___
1,2/20/18,56.3438,______ ___
1,2/21/18,56.5201,______ ___
1,2/22/18,56.6537,______ ___
1,2/23/18,56.7608,______ ___
1,2/27/18,55.9208,______ ___
1,2/28/18,55.6717,______ ___
1,3/1/18,56.3742,______ ___
1,3/2/18,56.4334,______ ___
1,3/3/18,56.6616,______ ___
1,3/6/18,57.1000,______ ___
1,3/7/18,56.5041,______ ___
1,3/8/18,56.8011,______ ___
1,3/13/18,56.6122,______ ___
1,3/14/18,56.9359,______ ___
1,3/15/18,56.9372,______ ___
1,3/16/18,57.0188,______ ___
1,3/17/18,57.4942,______ ___
1,3/20/18,57.5521,______ ___
1,3/21/18,57.7033,______ ___
1,3/22/18,57.4954,______ ___
1,3/23/18,56.8391,______ ___
1,3/24/18,57.1072,______ ___
1,3/27/18,57.0039,______ ___
1,3/28/18,57.1747,______ ___
1,3/29/18,57.5598,______ ___
1,3/30/18,57.7626,______ ___
1,3/31/18,57.2649,______ ___
1,4/3/18,57.2850,______ ___
1,4/4/18,57.5375,______ ___
1,4/5/18,57.7646,______ ___
1,4/6/18,57.5796,______ ___
1,4/7/18,57.8332,______ ___
1,4/10/18,58.5714,______ ___
1,4/11/18,62.3699,______ ___
1,4/12/18,64.0626,______ ___
1,4/13/18,62.0659,______ ___
1,4/14/18,61.4311,______ ___
1,4/17/18,62.2794,______ ___
1,4/18/18,61.1454,______ ___
1,4/19/18,61.5539,______ ___
1,4/20/18,60.8583,______ ___
1,4/21/18,61.3222,______ ___
1,4/24/18,61.7655,______ ___
1,4/25/18,61.6644,______ ___
1,4/26/18,61.7494,______ ___
1,4/27/18,62.6027,______ ___
1,4/28/18,62.7260,______ ___
1,4/29/18,61.9997,______ ___
1,5/4/18,63.4860,______ ___
1,5/5/18,63.2012,______ ___
1,5/8/18,62.7148,______ ___
1,5/9/18,63.0066,______ ___
1,5/11/18,62.5229,______ ___
1,5/12/18,61.7354,______ ___
1,5/15/18,61.7684,______ ___
1,5/16/18,61.9164,______ ___
1,5/17/18,62.3033,______ ___
1,5/18/18,61.8215,______ ___
1,5/19/18,61.9408,______ ___
1,5/22/18,62.5327,______ ___
1,5/23/18,61.2610,______ ___
1,5/24/18,61.5945,______ ___
1,5/25/18,61.4090,______ ___
1,5/26/18,61.6659,______ ___
1,5/29/18,62.2710,______ ___
1,5/30/18,62.6420,______ ___
1,5/31/18,62.5937,______ ___
1,6/1/18,62.0188,______ ___
1,6/2/18,62.2056,______ ___
1,6/5/18,61.9290,______ ___
